open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1579487400000,8650.00,8665.29,8650.00,8660.58,1010.765,1579488299999,8753570.05363,1727,493.808,4276534.54214,0
1579488300000,8659.80,8666.91,8655.01,8662.44,478.303,1579489199999,4142283.00660,995,255.269,2210755.94116,0
1579489200000,8662.40,8667.08,8647.59,8659.96,831.811,1579490099999,7200464.14094,1327,278.988,2415241.23105,0
1579490100000,8659.00,8667.29,8645.00,8658.69,792.922,1579490999999,6864289.11504,1356,306.389,2652063.51335,0
1579491000000,8658.37,8661.65,8649.00,8653.51,399.657,1579491899999,3459162.79312,724,192.704,1667903.13954,0
1579491900000,8653.50,8678.71,8650.00,8671.56,771.762,1579492799999,6685569.09948,3868,555.625,4814426.04798,0
1579492800000,8671.56,8699.55,8662.07,8668.39,1853.491,1579493699999,16091786.41741,3092,783.095,6799586.47302,0
1579493700000,8668.38,8668.65,8644.33,8645.87,612.617,1579494599999,5304163.70929,1299,158.160,1369606.46976,0
1579494600000,8645.88,8666.10,8636.22,8648.54,1190.418,1579495499999,10297601.37716,2333,698.011,6037154.33048,0
1579495500000,8648.54,8662.94,8641.31,8646.45,498.175,1579496399999,4310309.64254,1301,258.314,2234900.20013,0
1579496400000,8646.01,8670.48,8645.29,8665.05,711.170,1579497299999,6155681.67578,1451,356.180,3083128.25341,0
1579497300000,8665.05,8696.17,8659.13,8684.64,1230.964,1579498199999,10685135.38285,2527,894.653,7766723.11519,0
1579498200000,8684.64,8688.99,8666.42,8683.06,1044.257,1579499099999,9062224.54039,1801,494.644,4292144.34251,0
1579499100000,8683.84,8685.31,8670.00,8680.05,820.728,1579499999999,7124009.03602,1418,363.132,3151986.98804,0
1579500000000,8680.04,8682.71,8667.48,8671.76,614.479,1579500899999,5332441.96978,1027,187.029,1623062.67683,0
1579500900000,8670.72,8687.79,8670.02,8687.79,523.274,1579501799999,4542252.45394,713,372.978,3237860.76961,0
1579501800000,8687.79,8689.87,8666.85,8671.74,529.887,1579502699999,4598829.14877,1037,210.084,1823196.52773,0
1579502700000,8670.58,8690.00,8670.24,8686.52,499.672,1579503599999,4338724.12842,892,249.486,2166235.98174,0
1579503600000,8686.51,8699.00,8682.02,8696.96,541.942,1579504499999,4709118.52265,1161,302.500,2628744.19903,0
1579504500000,8696.96,8696.96,8683.00,8684.91,763.611,1579505399999,6635223.01013,1018,433.808,3769157.70039,0
1579505400000,8684.90,8684.95,8665.04,8675.10,1038.041,1579506299999,9004993.33432,1611,505.945,4389408.91964,0
1579506300000,8675.10,8681.45,8651.00,8668.00,885.154,1579507199999,7669727.92717,1971,377.969,3275343.82991,0
1579507200000,8667.98,8686.00,8660.22,8671.08,928.436,1579508099999,8051971.45603,1778,490.886,4257245.92156,0
1579508100000,8670.38,8672.00,8650.00,8657.97,1001.900,1579508999999,8673869.65836,1732,451.253,3906612.81284,0
1579509000000,8658.39,8667.00,8643.97,8649.04,721.921,1579509899999,6248958.86471,1502,329.719,2854251.52649,0
1579509900000,8649.04,8653.44,8601.00,8648.08,2501.453,1579510799999,21593844.57477,5710,1050.162,9066693.05035,0
1579510800000,8646.71,8679.00,8646.68,8668.19,1634.701,1579511699999,14164546.95670,2958,1010.308,8754050.93051,0
1579511700000,8668.32,8674.46,8660.00,8660.06,920.786,1579512599999,7978038.96594,1385,311.734,2701565.29379,0
1579512600000,8660.05,8663.74,8653.83,8662.00,645.708,1579513499999,5591183.01438,1191,294.695,2551638.61132,0
1579513500000,8661.51,8666.17,8654.00,8665.88,548.134,1579514399999,4746946.22876,880,304.575,2637696.71767,0
1579514400000,8665.89,8676.00,8653.91,8655.67,1010.518,1579515299999,8757145.50841,1392,411.291,3564637.83549,0
1579515300000,8655.68,8661.36,8648.23,8651.03,571.496,1579516199999,4945249.89048,1226,301.535,2609134.73232,0
1579516200000,8652.03,8661.63,8648.10,8657.89,504.126,1579517099999,4363375.84686,956,319.000,2760872.49014,0
1579517100000,8657.93,8675.00,8653.43,8660.00,934.111,1579517999999,8094978.94222,1978,541.452,4692182.85321,0
1579518000000,8660.00,8667.95,8650.78,8662.99,577.008,1579518899999,4996898.72277,911,299.363,2592480.15314,0
1579518900000,8662.76,8669.99,8650.00,8650.94,624.006,1579519799999,5401805.27276,1278,246.026,2130011.78403,0
1579519800000,8650.61,8655.00,8632.03,8637.79,899.472,1579520699999,7773083.18670,2016,488.656,4222140.47234,0
1579520700000,8637.79,8647.50,8610.69,8622.74,2096.803,1579521599999,18098843.89400,4357,729.982,6303038.48031,0
1579521600000,8622.74,8643.07,8610.00,8639.51,1790.598,1579522499999,15452692.78514,3651,996.121,8597385.37017,0
1579522500000,8639.54,8645.00,8575.00,8584.98,3678.277,1579523399999,31636857.24647,8077,1443.534,12418623.10567,0
1579523400000,8584.69,8624.00,8550.97,8613.01,3275.346,1579524299999,28120308.48195,7742,1706.941,14661722.27354,0
1579524300000,8613.37,8613.40,8583.79,8590.47,1493.195,1579525199999,12835795.48827,3283,706.257,6071176.34104,0
1579525200000,8590.26,8590.48,8527.16,8530.26,3435.856,1579526099999,29405142.90612,7310,1445.672,12377055.79988,0
1579526100000,8530.20,8570.00,8526.06,8564.07,3123.767,1579526999999,26693038.80809,6195,1742.604,14892956.21753,0
1579527000000,8564.75,8605.72,8559.21,8596.79,2992.380,1579527899999,25688176.36359,7119,1594.810,13691675.47309,0
1579527900000,8596.91,8652.01,8595.42,8612.98,3760.649,1579528799999,32432846.65638,9092,1952.735,16840674.01108,0
1579528800000,8612.10,8635.00,8603.79,8614.75,2122.781,1579529699999,18297439.25779,3627,952.656,8212196.30959,0
1579529700000,8614.75,8645.00,8595.00,8632.96,1948.887,1579530599999,16807572.53274,4206,1153.069,9946672.98649,0
1579530600000,8632.11,8665.00,8629.26,8655.29,1551.033,1579531499999,13414306.12806,3425,841.731,7280576.34804,0
1579531500000,8655.30,8675.83,8650.92,8667.31,2318.459,1579532399999,20087260.88833,5066,1306.456,11320966.78419,0
1579532400000,8667.28,8675.75,8646.90,8660.79,1326.788,1579533299999,11490697.90058,2718,621.921,5387188.05381,0
1579533300000,8660.88,8672.00,8643.00,8654.43,1116.516,1579534199999,9669097.90387,2070,497.523,4308955.00956,0
1579534200000,8653.65,8669.95,8651.10,8653.00,751.732,1579535099999,6510689.13435,1420,353.513,3061544.60709,0
1579535100000,8652.75,8686.00,8650.28,8680.17,2092.220,1579535999999,18151193.98124,3216,1098.855,9533318.08677,0
1579536000000,8680.90,8710.65,8665.00,8676.40,3008.075,1579536899999,26133611.78886,6494,1469.692,12769543.71926,0
1579536900000,8676.40,8687.92,8662.00,8672.18,1226.965,1579537799999,10642871.00358,2279,654.656,5677828.57867,0
1579537800000,8672.18,8674.71,8661.00,8666.00,796.615,1579538699999,6905232.99091,1241,371.522,3220305.51452,0
1579538700000,8666.00,8680.00,8660.81,8675.73,992.111,1579539599999,8601250.53008,2029,610.136,5289193.72734,0
1579539600000,8675.74,8680.99,8664.57,8665.99,749.469,1579540499999,6499675.82679,1291,334.976,2905414.44743,0
1579540500000,8665.07,8674.64,8647.25,8655.01,849.175,1579541399999,7356819.00827,1677,336.131,2913083.89671,0
1579541400000,8655.00,8670.55,8648.31,8670.43,697.271,1579542299999,6038434.57028,1381,429.639,3721026.97706,0
1579542300000,8670.43,8677.06,8647.90,8648.82,1126.361,1579543199999,9753687.04006,2028,290.528,2516218.40228,0
1579543200000,8648.59,8687.00,8645.00,8679.56,1703.001,1579544099999,14757148.89016,2830,1099.788,9533489.62597,0
1579544100000,8679.52,8680.24,8669.75,8671.43,820.992,1579544999999,7124051.55589,1667,438.674,3806710.74556,0
1579545000000,8670.21,8680.00,8666.70,8673.00,382.927,1579545899999,3321459.07415,1002,207.091,1796219.25622,0
1579545900000,8673.00,8680.00,8668.23,8670.93,408.543,1579546799999,3544010.25586,799,195.726,1697850.36604,0
1579546800000,8671.60,8675.00,8666.97,8674.60,186.958,1579547699999,1621147.15644,456,96.309,835124.27831,0
1579547700000,8674.88,8680.00,8663.93,8669.19,671.131,1579548599999,5820093.07164,1019,377.087,3270181.75805,0
1579548600000,8669.06,8677.00,8666.00,8676.00,294.279,1579549499999,2552200.00030,589,120.430,1044446.11125,0
1579549500000,8676.01,8688.61,8673.16,8678.35,772.690,1579550399999,6707501.67023,1134,499.189,4333419.05941,0
1579550400000,8678.63,8685.00,8671.91,8673.20,494.685,1579551299999,4292472.13625,801,201.122,1745382.26234,0
1579551300000,8673.21,8679.79,8668.00,8670.54,416.213,1579552199999,3610203.39784,646,186.168,1614910.05339,0
1579552200000,8670.11,8675.00,8665.08,8673.09,458.951,1579553099999,3978861.67405,595,224.720,1948241.97795,0
1579553100000,8673.01,8680.00,8670.02,8679.99,335.131,1579553999999,2907500.98715,483,248.746,2158148.26392,0
1579554000000,8679.98,8679.99,8671.57,8678.00,345.594,1579554899999,2998410.27604,508,158.555,1375565.51779,0
1579554900000,8678.00,8680.90,8673.19,8680.75,327.110,1579555799999,2838517.34896,468,178.986,1553223.84244,0
1579555800000,8680.75,8682.10,8674.07,8679.93,350.587,1579556699999,3042666.41860,532,146.528,1271627.27327,0
1579556700000,8680.75,8700.11,8678.07,8699.08,908.855,1579557599999,7897038.75094,1518,704.303,6120421.00996,0
1579557600000,8698.38,8745.77,8698.07,8712.43,2718.146,1579558499999,23700646.13946,5691,1469.577,12815478.74770,0
1579558500000,8712.36,8746.00,8712.28,8724.35,897.257,1579559399999,7832511.20695,1942,471.311,4114040.16645,0
1579559400000,8724.35,8750.37,8719.85,8740.24,1844.178,1579560299999,16115491.60274,3173,963.269,8418424.78997,0
1579560300000,8740.48,8743.17,8650.00,8660.57,3678.310,1579561199999,31940926.46076,7243,1506.373,13078029.34094,0
1579561200000,8660.52,8679.23,8612.51,8651.89,4970.917,1579562099999,42976782.17948,8081,2102.972,18189557.80009,0
1579562100000,8652.73,8685.00,8636.42,8676.68,1408.955,1579562999999,12209221.89936,2482,813.096,7046569.18069,0
1579563000000,8677.00,8686.85,8649.31,8655.24,1944.461,1579563899999,16849521.80110,2786,903.499,7829706.32656,0
1579563900000,8655.27,8657.70,8641.47,8650.00,488.561,1579564799999,4226165.89877,1326,223.442,1933070.91401,0
1579564800000,8650.00,8664.29,8624.84,8625.00,2150.358,1579565699999,18584182.76238,3713,1147.907,9922180.22287,0
1579565700000,8624.89,8668.00,8621.27,8660.12,2064.328,1579566599999,17851589.63063,3006,1330.355,11505596.89616,0
1579566600000,8660.00,8665.15,8637.00,8638.95,843.947,1579567499999,7298733.62293,1527,355.625,3075509.45486,0
1579567500000,8639.76,8654.99,8635.00,8651.82,648.188,1579568399999,5604263.21154,1075,334.799,2894863.75560,0
1579568400000,8650.90,8656.44,8642.36,8650.19,661.652,1579569299999,5724155.36802,945,321.806,2783988.43138,0
1579569300000,8650.21,8666.99,8650.08,8660.11,700.945,1579570199999,6070410.54963,1215,378.671,3279207.59626,0
1579570200000,8660.11,8669.79,8653.14,8653.69,523.656,1579571099999,4536068.50892,1073,217.408,1883366.74721,0
1579571100000,8653.69,8664.48,8650.01,8661.49,386.852,1579571999999,3349377.04267,631,211.761,1833535.98654,0
1579572000000,8661.55,8682.92,8658.83,8678.14,628.299,1579572899999,5449034.18086,1147,343.854,2982398.78630,0
1579572900000,8679.32,8680.34,8663.13,8669.24,463.221,1579573799999,4016095.68718,822,218.332,1892920.24907,0
1579573800000,8669.06,8669.06,8653.37,8657.00,661.038,1579574699999,5723691.19803,1040,287.270,2487229.84942,0
1579574700000,8656.99,8677.95,8656.14,8671.00,574.657,1579575599999,4981318.33910,750,366.433,3176149.02991,0
1579575600000,8671.00,8680.00,8670.80,8675.08,433.453,1579576499999,3759919.18412,627,256.555,2225469.44223,0
1579576500000,8675.10,8688.00,8664.00,8668.01,807.320,1579577399999,7003037.99733,1343,359.489,3118295.56358,0
1579577400000,8668.02,8682.49,8667.06,8670.25,527.932,1579578299999,4578710.71510,742,263.579,2285793.95013,0
1579578300000,8670.95,8680.00,8670.03,8679.00,191.101,1579579199999,1657787.93197,449,122.716,1064529.61482,0
1579579200000,8679.00,8690.00,8677.93,8682.51,544.206,1579580099999,4725637.41898,844,329.310,2859622.20264,0
1579580100000,8682.51,8694.35,8682.51,8691.33,559.262,1579580999999,4859780.16047,1263,323.875,2814284.71523,0
1579581000000,8692.98,8700.00,8684.41,8687.52,712.077,1579581899999,6190954.09731,1331,320.624,2787829.99386,0
1579581900000,8687.75,8688.80,8673.70,8675.90,498.456,1579582799999,4327348.58505,830,187.634,1629004.61809,0
1579582800000,8675.80,8685.00,8670.45,8680.69,501.206,1579583699999,4349265.22651,783,260.931,2264406.08415,0
1579583700000,8680.99,8682.33,8665.00,8665.01,451.029,1579584599999,3911326.29937,764,171.685,1488915.02972,0
1579584600000,8665.05,8672.35,8651.44,8652.73,909.410,1579585499999,7877025.65949,1385,435.350,3770886.19404,0
1579585500000,8653.13,8675.00,8647.90,8664.99,727.390,1579586399999,6299908.95572,1388,437.474,3788945.10295,0
1579586400000,8664.99,8674.39,8653.21,8662.43,440.646,1579587299999,3817656.38210,757,233.231,2020550.42981,0
1579587300000,8662.51,8669.00,8650.00,8655.74,625.000,1579588199999,5412233.58706,1002,275.924,2389138.28321,0
1579588200000,8656.00,8671.03,8646.97,8650.39,854.172,1579589099999,7397587.82578,1402,381.583,3304442.88909,0
1579589100000,8650.38,8664.00,8645.37,8655.56,512.837,1579589999999,4438985.35970,942,284.642,2463439.43532,0
1579590000000,8655.57,8662.15,8649.73,8650.02,278.736,1579590899999,2412549.65163,611,116.086,1004774.50507,0
1579590900000,8650.03,8658.82,8641.68,8648.04,465.084,1579591799999,4022613.83902,842,202.368,1750333.21470,0
1579591800000,8648.02,8648.02,8630.00,8634.00,1078.852,1579592699999,9319858.63314,1769,412.568,3563971.61218,0
1579592700000,8634.00,8645.65,8633.72,8639.96,665.718,1579593599999,5751421.45533,1026,384.336,3320018.23482,0
1579593600000,8639.96,8645.00,8619.17,8625.27,1397.798,1579594499999,12064867.03886,1941,473.329,4086230.81145,0
1579594500000,8625.26,8638.00,8621.86,8635.41,806.543,1579595399999,6959439.30592,1203,425.069,3667680.15422,0
1579595400000,8636.09,8659.79,8626.53,8657.83,1202.035,1579596299999,10385918.13339,1798,594.422,5136670.96835,0
1579596300000,8657.83,8672.00,8645.50,8662.99,1554.845,1579597199999,13462676.65996,2279,686.711,5947259.15165,0
1579597200000,8663.00,8670.00,8651.31,8662.58,1034.373,1579598099999,8961162.64833,1369,686.164,5945459.38890,0
1579598100000,8662.69,8672.00,8654.00,8655.69,549.281,1579598999999,4758992.75736,991,298.723,2588095.75324,0
1579599000000,8655.71,8664.75,8643.29,8645.14,500.054,1579599899999,4327622.46249,1024,219.524,1899838.39625,0
1579599900000,8645.10,8645.15,8633.55,8637.53,484.530,1579600799999,4186163.64469,1096,247.600,2139086.15475,0
1579600800000,8637.50,8649.80,8634.50,8648.16,313.408,1579601699999,2708271.30868,761,196.122,1694818.19620,0
